framework,outcome,outcome_label,learner,estimate,std_error,p_value,n
PLR,loneliness,Loneliness,Elastic net,0.0239110815636785,0.0126594361153076,0.0589192826290851,4298
PLR,loneliness,Loneliness,Lasso,0.0224658216205682,0.0126312676861316,0.0753073265440679,4298
PLR,loneliness,Loneliness,Random forest,0.0236042130022142,0.0125301513837807,0.0595929641942427,4298
PLR,loneliness,Loneliness,Neural net,0.0170783426121477,0.0125774774760178,0.174510911637684,4298
PLR,life_dissatisfaction,Life dissatisfaction,Elastic net,0.0565879407097261,0.0290236839305442,0.0512099791498972,4316
PLR,life_dissatisfaction,Life dissatisfaction,Lasso,0.0616942321249871,0.0290227145168653,0.0335263870739157,4316
PLR,life_dissatisfaction,Life dissatisfaction,Random forest,0.055554430027734,0.0286793337086738,0.0527344301882761,4316
PLR,life_dissatisfaction,Life dissatisfaction,Neural net,0.0289417294999352,0.0291125966813384,0.320159184380241,4316
PLR,schoolwork_dissatisfaction,School-work dissatisfaction,Elastic net,0.118470090978175,0.0329864323546036,0.000328806220116402,4329
PLR,schoolwork_dissatisfaction,School-work dissatisfaction,Lasso,0.116645010771786,0.0330099309585031,0.000409888421660808,4329
PLR,schoolwork_dissatisfaction,School-work dissatisfaction,Random forest,0.118217287251957,0.0325055038584471,0.000276004221776078,4329
PLR,schoolwork_dissatisfaction,School-work dissatisfaction,Neural net,0.105277567606274,0.0320334040195921,0.00101443187992667,4329
PLR,school_dissatisfaction,School dissatisfaction,Elastic net,0.0746512249634982,0.0349074477378133,0.0324723567910672,4316
PLR,school_dissatisfaction,School dissatisfaction,Lasso,0.0724562080760616,0.0349594696079531,0.0382116222498916,4316
PLR,school_dissatisfaction,School dissatisfaction,Random forest,0.0775376687160652,0.0347320173997172,0.0255849008664684,4316
PLR,school_dissatisfaction,School dissatisfaction,Neural net,0.0739015258722992,0.035268189340767,0.0361340343883248,4316
