"section","variable_with_range","N_total","l_pct","m_pct","n_pct","o_pct","M","SD","observed_range","skew"
"Panel coverage","Unique adolescents","3625","1663","1766","1623","1435","--","--","--","--"
"Panel coverage","Observed in 1 wave","1747","--","--","--","--","0.48","--","--","--"
"Panel coverage","Observed in 2 waves","1089","--","--","--","--","0.30","--","--","--"
"Panel coverage","Observed in 3 waves","594","--","--","--","--","0.16","--","--","--"
"Panel coverage","Observed in 4 waves (all waves)","195","--","--","--","--","0.05","--","--","--"
"Age composition","Age 9","2","0","1","1","0","--","--","--","--"
"Age composition","Age 10","1007","247","271","263","226","--","--","--","--"
"Age composition","Age 11","1022","268","272","259","223","--","--","--","--"
"Age composition","Age 12","1129","297","300","274","258","--","--","--","--"
"Age composition","Age 13","1083","286","292","275","230","--","--","--","--"
"Age composition","Age 14","1139","311","312","272","244","--","--","--","--"
"Age composition","Age 15","1082","246","310","275","251","--","--","--","--"
"Age composition","Age 16","23","8","8","4","3","--","--","--","--"
"Sample characteristics","Female (0--1)","6486","100.0","99.9","100.0","100.0","0.52","0.50","0--1","-0.08"
"Sample characteristics","Urban area (0--1)","6486","100.0","99.9","100.0","100.0","0.78","0.42","0--1","-1.34"
"Social-media exposure","Has social-media account/profile (0--1)","6477","99.7","99.9","99.9","99.9","0.81","0.39","0--1","-1.57"
"Social-media exposure","Weekday social-media use (1--5)","5178","79.6","80.5","79.4","79.7","2.70","0.82","1--5","0.23"
"Social-media exposure","Weekend social-media interaction (1--5)","5194","79.8","80.5","79.3","80.8","3.16","0.96","1--5","0.05"
"Social-media exposure","High weekday social-media use (0--1)","5178","79.6","80.5","79.4","79.7","0.14","0.35","0--1","2.08"
"Mental wellbeing","Loneliness (1--3)","5534","47.1","99.0","97.8","98.7","1.49","0.58","1--3","0.71"
"Mental wellbeing","Life dissatisfaction (1--7)","6421","99.2","98.8","99.0","99.0","5.57","1.28","1--7","-1.08"
"Mental wellbeing","School-work dissatisfaction (1--7)","6453","99.5","99.4","99.4","99.6","5.10","1.42","1--7","-0.83"
"Mental wellbeing","School dissatisfaction (1--7)","6428","99.3","98.8","99.2","99.1","5.29","1.57","1--7","-0.97"
"Adjustment variables","Number of close friends (0--100)","6441","99.3","99.3","99.4","99.2","7.46","7.20","0--95","4.77"
"Adjustment variables","Family meals (1--4)","6452","99.5","99.7","99.4","99.2","3.30","0.92","1--4","-1.09"
"Adjustment variables","Television/video hours (1--5)","6429","99.5","99.1","98.8","99.0","3.32","0.74","1--5","-0.02"
"Adjustment variables","Smartphone (0--1)","6471","99.9","99.5","99.9","99.7","0.84","0.36","0--1","-1.89"
"Adjustment variables","Tablet (0--1)","6471","99.9","99.5","99.9","99.7","0.61","0.49","0--1","-0.46"
"Adjustment variables","Gaming console (0--1)","6471","99.9","99.5","99.9","99.7","0.72","0.45","0--1","-0.97"
"Adjustment variables","Laptop/desktop computer (0--1)","5597","47.3","99.5","99.9","99.7","0.77","0.42","0--1","-1.26"
"Adjustment variables","Close friends never met in person (1--2)","6446","99.4","99.1","99.6","99.4","1.82","0.39","1--2","-1.63"
