"Outcome","Specification","Wave l","Wave m","Wave n","Wave o","Pooled","Pooled + wave FE","Within FE","Within FE + wave FE"
"Loneliness","Bivariate","0.238*** (0.076)","0.172*** (0.047)","0.098** (0.048)","0.109** (0.055)","0.145*** (0.029)","0.145*** (0.029)","0.079** (0.040)","0.069* (0.040)"
"Loneliness","+ Basic controls","0.218*** (0.073)","0.158*** (0.046)","0.094** (0.047)","0.101* (0.053)","0.135*** (0.028)","0.135*** (0.028)","0.069* (0.040)","0.069* (0.040)"
"Loneliness","+ Rich controls","0.148* (0.080)","0.086* (0.050)","0.025 (0.049)","-0.014 (0.058)","0.060** (0.029)","0.060** (0.029)","0.066 (0.041)","0.066 (0.041)"
"Loneliness","DML IRM ATE (+ rich controls)","0.062 (0.254)","0.234** (0.097)","-0.093 (0.089)","-0.124 (0.170)","0.027 (0.046)","0.026 (0.044)","",""
"Life dissatisfaction","Bivariate","0.588*** (0.121)","0.551*** (0.108)","0.314*** (0.115)","0.369*** (0.131)","0.463*** (0.064)","0.463*** (0.065)","0.139* (0.075)","0.089 (0.074)"
"Life dissatisfaction","+ Basic controls","0.542*** (0.118)","0.498*** (0.105)","0.272** (0.110)","0.314** (0.129)","0.414*** (0.062)","0.414*** (0.062)","0.092 (0.074)","0.089 (0.074)"
"Life dissatisfaction","+ Rich controls","0.453** (0.186)","0.235** (0.110)","0.048 (0.115)","0.038 (0.137)","0.174** (0.068)","0.176*** (0.068)","0.036 (0.089)","0.036 (0.089)"
"Life dissatisfaction","DML IRM ATE (+ rich controls)","2.149 (1.497)","0.359 (0.399)","0.056 (0.211)","-0.283 (0.446)","0.254 (0.165)","0.239 (0.146)","",""
"School-work dissatisfaction","Bivariate","0.539*** (0.111)","0.563*** (0.107)","0.543*** (0.117)","0.561*** (0.148)","0.549*** (0.063)","0.552*** (0.063)","0.132 (0.085)","0.088 (0.085)"
"School-work dissatisfaction","+ Basic controls","0.526*** (0.111)","0.543*** (0.108)","0.541*** (0.119)","0.571*** (0.149)","0.540*** (0.063)","0.543*** (0.063)","0.090 (0.085)","0.088 (0.085)"
"School-work dissatisfaction","+ Rich controls","0.369* (0.199)","0.394*** (0.118)","0.315** (0.130)","0.232 (0.157)","0.328*** (0.073)","0.336*** (0.073)","0.101 (0.102)","0.101 (0.102)"
"School-work dissatisfaction","DML IRM ATE (+ rich controls)","0.116 (0.405)","0.902 (0.610)","0.577** (0.232)","-0.585 (0.783)","0.519*** (0.133)","0.498*** (0.143)","",""
"School dissatisfaction","Bivariate","0.538*** (0.129)","0.470*** (0.114)","0.544*** (0.149)","0.639*** (0.158)","0.536*** (0.074)","0.540*** (0.074)","0.172* (0.095)","0.077 (0.090)"
"School dissatisfaction","+ Basic controls","0.491*** (0.129)","0.400*** (0.113)","0.487*** (0.151)","0.569*** (0.158)","0.473*** (0.074)","0.477*** (0.074)","0.077 (0.090)","0.077 (0.090)"
"School dissatisfaction","+ Rich controls","0.347* (0.196)","0.106 (0.122)","0.275* (0.154)","0.173 (0.171)","0.192** (0.081)","0.207** (0.080)","0.034 (0.104)","0.034 (0.104)"
"School dissatisfaction","DML IRM ATE (+ rich controls)","1.042 (0.955)","0.457** (0.224)","0.308 (0.482)","-0.209 (0.659)","0.349** (0.165)","0.359** (0.152)","",""
